,Movie_name,movie_type,Director,Actors,Movie_Description,Release_Year,Time_duration'M',Imdb_Rating,Imdb_votes,Meta_score,Decade
79, Star Wars: Episode VII - The Force Awakens,PG-13,J.J. Abrams,Daisy RidleyJohn BoyegaOscar Isaac,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",2015,138,7.8,997000,80.0,2010
80, The Hobbit: The Desolation of Smaug,PG-13,Peter Jackson,Ian McKellenMartin FreemanRichard Armitage,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim the Lonely Mountain, their homeland, from the dragon Smaug.",2013,161,7.8,730000,66.0,2010
81, Mad Max: Fury Road,R,George Miller,Tom HardyCharlize TheronNicholas Hoult,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max.",2015,120,8.1,1200000,90.0,2010
82, 12 Years a Slave,R,Steve McQueen,Chiwetel EjioforMichael Kenneth WilliamsMichael Fassbender,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",2013,134,8.1,763000,96.0,2010
83, Indiana Jones and the Last Crusade,PG-13,Steven Spielberg,Harrison FordSean ConneryAlison Doody,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",1989,127,8.2,837000,65.0,1980
84," O Brother, Where Art Thou?",PG-13,sJoel CoenEthan Coen,George ClooneyJohn TurturroTim Blake Nelson,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",2000,107,7.7,341000,69.0,2000
85, Inglourious Basterds,R,Quentin Tarantino,Brad PittDiane KrugerEli Roth,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",2009,153,8.4,323500,69.0,2000
86, The Departed,R,Martin Scorsese,Leonardo DiCaprioMatt DamonJack Nicholson,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,2006,151,8.5,1500000,85.0,2000
87, A Beautiful Mind,PG-13,Ron Howard,Russell CroweEd HarrisJennifer Connelly,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery.",2001,135,8.2,1000000,72.0,2000
88, District 9,R,Neill Blomkamp,Sharlto CopleyDavid JamesJason Cope,"In a future Earth in which aliens are isolated in a remote ghetto, a government agent finds himself banished there.",2009,112,7.9,734000,81.0,2000
89, The Piano,R,Jane Campion,Holly HunterHarvey KeitelSam Neill,"In the mid-19th century a mute woman is sent to New Zealand along with her young daughter and prized piano for an arranged marriage to a farmer, but is soon lusted after by a farm worker.",1993,121,7.5,98000,89.0,1990
90, Mystic River,R,Clint Eastwood,Sean PennTim RobbinsKevin Bacon,"The tragic murder of a 19-year-old girl reunites three childhood friends still living in Boston--the victim's gangster father, a detective, and the disturbed man they both suspect of killing her.",2003,138,7.9,503000,84.0,2000
91, The Insider,R,Michael Mann,Russell CroweAl PacinoChristopher Plummer,A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.,1999,157,7.8,186000,85.0,1990
92, L,R,Curtis Hanson,Kevin SpaceyRussell CroweGuy Pearce,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",1997,138,8.2,640000,91.0,1990
93, Heat,R,Michael Mann,Al PacinoRobert De NiroVal Kilmer,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,1995,170,8.3,755000,76.0,1990
94, The Usual Suspects,R,Bryan Singer,Kevin SpaceyGabriel ByrneChazz Palminteri,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,1995,106,8.5,1200000,76.0,1990
95, Cool Hand Luke,Approved,Stuart Rosenberg,Paul NewmanGeorge KennedyStrother Martin,"A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform.",1967,127,8.0,194000,92.0,1960
96, Eternal Sunshine of the Spotless Mind,R,Michel Gondry,Jim CarreyKate WinsletTom Wilkinson,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.",2004,108,8.3,1100000,89.0,2000
97, City Lights,G,Charles Chaplin,Charles ChaplinVirginia CherrillFlorence Lee,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",1931,87,8.5,206000,99.0,1930
98, The Matrix,R,sLana WachowskiLilly Wachowski,Keanu ReevesLaurence FishburneCarrie-Anne Moss,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",1999,136,8.7,323500,73.0,1990
99, Sin City,R,sFrank MillerQuentin TarantinoRobert Rodriguez,Mickey RourkeClive OwenBruce Willis,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.",2005,124,8.0,807000,74.0,2000
100, Misery,R,Rob Reiner,James CaanKathy BatesRichard Farnsworth,"After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse.",1990,107,7.8,249000,75.0,1990
101, What's Eating Gilbert Grape,PG-13,Lasse Hallström,Johnny DeppLeonardo DiCaprioJuliette Lewis,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.,1993,118,7.7,261000,73.0,1990
